scenario,temporal_mode,spatial_mode,scale,dod,replica,customers,dynamic_customers,min_reachability_slack,path
US,uniform,stationary,20,0.0,0,20,0,178,data/US/n20/dod0/replica0.json
US,uniform,stationary,20,0.0,1,20,0,153,data/US/n20/dod0/replica1.json
US,uniform,stationary,20,0.0,2,20,0,268,data/US/n20/dod0/replica2.json
US,uniform,stationary,20,0.0,3,20,0,104,data/US/n20/dod0/replica3.json
US,uniform,stationary,20,0.0,4,20,0,68,data/US/n20/dod0/replica4.json
US,uniform,stationary,20,0.0,5,20,0,172,data/US/n20/dod0/replica5.json
US,uniform,stationary,20,0.0,6,20,0,71,data/US/n20/dod0/replica6.json
US,uniform,stationary,20,0.0,7,20,0,124,data/US/n20/dod0/replica7.json
US,uniform,stationary,20,0.0,8,20,0,84,data/US/n20/dod0/replica8.json
US,uniform,stationary,20,0.0,9,20,0,100,data/US/n20/dod0/replica9.json
US,uniform,stationary,20,0.2,0,20,4,56,data/US/n20/dod20/replica0.json
US,uniform,stationary,20,0.2,1,20,4,68,data/US/n20/dod20/replica1.json
US,uniform,stationary,20,0.2,2,20,4,52,data/US/n20/dod20/replica2.json
US,uniform,stationary,20,0.2,3,20,4,66,data/US/n20/dod20/replica3.json
US,uniform,stationary,20,0.2,4,20,4,98,data/US/n20/dod20/replica4.json
US,uniform,stationary,20,0.2,5,20,4,80,data/US/n20/dod20/replica5.json
US,uniform,stationary,20,0.2,6,20,4,26,data/US/n20/dod20/replica6.json
US,uniform,stationary,20,0.2,7,20,4,70,data/US/n20/dod20/replica7.json
US,uniform,stationary,20,0.2,8,20,4,58,data/US/n20/dod20/replica8.json
US,uniform,stationary,20,0.2,9,20,4,26,data/US/n20/dod20/replica9.json
US,uniform,stationary,20,0.5,0,20,10,44,data/US/n20/dod50/replica0.json
US,uniform,stationary,20,0.5,1,20,10,31,data/US/n20/dod50/replica1.json
US,uniform,stationary,20,0.5,2,20,10,66,data/US/n20/dod50/replica2.json
US,uniform,stationary,20,0.5,3,20,10,34,data/US/n20/dod50/replica3.json
US,uniform,stationary,20,0.5,4,20,10,56,data/US/n20/dod50/replica4.json
US,uniform,stationary,20,0.5,5,20,10,33,data/US/n20/dod50/replica5.json
US,uniform,stationary,20,0.5,6,20,10,56,data/US/n20/dod50/replica6.json
US,uniform,stationary,20,0.5,7,20,10,53,data/US/n20/dod50/replica7.json
US,uniform,stationary,20,0.5,8,20,10,31,data/US/n20/dod50/replica8.json
US,uniform,stationary,20,0.5,9,20,10,31,data/US/n20/dod50/replica9.json
US,uniform,stationary,20,0.8,0,20,16,20,data/US/n20/dod80/replica0.json
US,uniform,stationary,20,0.8,1,20,16,13,data/US/n20/dod80/replica1.json
US,uniform,stationary,20,0.8,2,20,16,56,data/US/n20/dod80/replica2.json
US,uniform,stationary,20,0.8,3,20,16,52,data/US/n20/dod80/replica3.json
US,uniform,stationary,20,0.8,4,20,16,39,data/US/n20/dod80/replica4.json
US,uniform,stationary,20,0.8,5,20,16,81,data/US/n20/dod80/replica5.json
US,uniform,stationary,20,0.8,6,20,16,22,data/US/n20/dod80/replica6.json
US,uniform,stationary,20,0.8,7,20,16,32,data/US/n20/dod80/replica7.json
US,uniform,stationary,20,0.8,8,20,16,39,data/US/n20/dod80/replica8.json
US,uniform,stationary,20,0.8,9,20,16,25,data/US/n20/dod80/replica9.json
US,uniform,stationary,20,0.9,0,20,18,29,data/US/n20/dod90/replica0.json
US,uniform,stationary,20,0.9,1,20,18,28,data/US/n20/dod90/replica1.json
US,uniform,stationary,20,0.9,2,20,18,11,data/US/n20/dod90/replica2.json
US,uniform,stationary,20,0.9,3,20,18,4,data/US/n20/dod90/replica3.json
US,uniform,stationary,20,0.9,4,20,18,57,data/US/n20/dod90/replica4.json
US,uniform,stationary,20,0.9,5,20,18,29,data/US/n20/dod90/replica5.json
US,uniform,stationary,20,0.9,6,20,18,31,data/US/n20/dod90/replica6.json
US,uniform,stationary,20,0.9,7,20,18,39,data/US/n20/dod90/replica7.json
US,uniform,stationary,20,0.9,8,20,18,50,data/US/n20/dod90/replica8.json
US,uniform,stationary,20,0.9,9,20,18,44,data/US/n20/dod90/replica9.json
US,uniform,stationary,20,0.95,0,20,19,48,data/US/n20/dod95/replica0.json
US,uniform,stationary,20,0.95,1,20,19,51,data/US/n20/dod95/replica1.json
US,uniform,stationary,20,0.95,2,20,19,49,data/US/n20/dod95/replica2.json
US,uniform,stationary,20,0.95,3,20,19,28,data/US/n20/dod95/replica3.json
US,uniform,stationary,20,0.95,4,20,19,12,data/US/n20/dod95/replica4.json
US,uniform,stationary,20,0.95,5,20,19,47,data/US/n20/dod95/replica5.json
US,uniform,stationary,20,0.95,6,20,19,25,data/US/n20/dod95/replica6.json
US,uniform,stationary,20,0.95,7,20,19,21,data/US/n20/dod95/replica7.json
US,uniform,stationary,20,0.95,8,20,19,73,data/US/n20/dod95/replica8.json
US,uniform,stationary,20,0.95,9,20,19,34,data/US/n20/dod95/replica9.json
US,uniform,stationary,50,0.0,0,50,0,80,data/US/n50/dod0/replica0.json
US,uniform,stationary,50,0.0,1,50,0,178,data/US/n50/dod0/replica1.json
US,uniform,stationary,50,0.0,2,50,0,111,data/US/n50/dod0/replica2.json
US,uniform,stationary,50,0.0,3,50,0,118,data/US/n50/dod0/replica3.json
US,uniform,stationary,50,0.0,4,50,0,92,data/US/n50/dod0/replica4.json
US,uniform,stationary,50,0.0,5,50,0,123,data/US/n50/dod0/replica5.json
US,uniform,stationary,50,0.0,6,50,0,82,data/US/n50/dod0/replica6.json
US,uniform,stationary,50,0.0,7,50,0,102,data/US/n50/dod0/replica7.json
US,uniform,stationary,50,0.0,8,50,0,108,data/US/n50/dod0/replica8.json
US,uniform,stationary,50,0.0,9,50,0,97,data/US/n50/dod0/replica9.json
US,uniform,stationary,50,0.2,0,50,10,72,data/US/n50/dod20/replica0.json
US,uniform,stationary,50,0.2,1,50,10,60,data/US/n50/dod20/replica1.json
US,uniform,stationary,50,0.2,2,50,10,51,data/US/n50/dod20/replica2.json
US,uniform,stationary,50,0.2,3,50,10,52,data/US/n50/dod20/replica3.json
US,uniform,stationary,50,0.2,4,50,10,56,data/US/n50/dod20/replica4.json
US,uniform,stationary,50,0.2,5,50,10,13,data/US/n50/dod20/replica5.json
US,uniform,stationary,50,0.2,6,50,10,31,data/US/n50/dod20/replica6.json
US,uniform,stationary,50,0.2,7,50,10,39,data/US/n50/dod20/replica7.json
US,uniform,stationary,50,0.2,8,50,10,49,data/US/n50/dod20/replica8.json
US,uniform,stationary,50,0.2,9,50,10,30,data/US/n50/dod20/replica9.json
US,uniform,stationary,50,0.5,0,50,25,36,data/US/n50/dod50/replica0.json
US,uniform,stationary,50,0.5,1,50,25,29,data/US/n50/dod50/replica1.json
US,uniform,stationary,50,0.5,2,50,25,46,data/US/n50/dod50/replica2.json
US,uniform,stationary,50,0.5,3,50,25,16,data/US/n50/dod50/replica3.json
US,uniform,stationary,50,0.5,4,50,25,35,data/US/n50/dod50/replica4.json
US,uniform,stationary,50,0.5,5,50,25,5,data/US/n50/dod50/replica5.json
US,uniform,stationary,50,0.5,6,50,25,17,data/US/n50/dod50/replica6.json
US,uniform,stationary,50,0.5,7,50,25,47,data/US/n50/dod50/replica7.json
US,uniform,stationary,50,0.5,8,50,25,23,data/US/n50/dod50/replica8.json
US,uniform,stationary,50,0.5,9,50,25,40,data/US/n50/dod50/replica9.json
US,uniform,stationary,50,0.8,0,50,40,26,data/US/n50/dod80/replica0.json
US,uniform,stationary,50,0.8,1,50,40,18,data/US/n50/dod80/replica1.json
US,uniform,stationary,50,0.8,2,50,40,1,data/US/n50/dod80/replica2.json
US,uniform,stationary,50,0.8,3,50,40,43,data/US/n50/dod80/replica3.json
US,uniform,stationary,50,0.8,4,50,40,24,data/US/n50/dod80/replica4.json
US,uniform,stationary,50,0.8,5,50,40,8,data/US/n50/dod80/replica5.json
US,uniform,stationary,50,0.8,6,50,40,7,data/US/n50/dod80/replica6.json
US,uniform,stationary,50,0.8,7,50,40,62,data/US/n50/dod80/replica7.json
US,uniform,stationary,50,0.8,8,50,40,26,data/US/n50/dod80/replica8.json
US,uniform,stationary,50,0.8,9,50,40,49,data/US/n50/dod80/replica9.json
US,uniform,stationary,50,0.9,0,50,45,14,data/US/n50/dod90/replica0.json
US,uniform,stationary,50,0.9,1,50,45,7,data/US/n50/dod90/replica1.json
US,uniform,stationary,50,0.9,2,50,45,22,data/US/n50/dod90/replica2.json
US,uniform,stationary,50,0.9,3,50,45,43,data/US/n50/dod90/replica3.json
US,uniform,stationary,50,0.9,4,50,45,30,data/US/n50/dod90/replica4.json
US,uniform,stationary,50,0.9,5,50,45,47,data/US/n50/dod90/replica5.json
US,uniform,stationary,50,0.9,6,50,45,17,data/US/n50/dod90/replica6.json
US,uniform,stationary,50,0.9,7,50,45,1,data/US/n50/dod90/replica7.json
US,uniform,stationary,50,0.9,8,50,45,6,data/US/n50/dod90/replica8.json
US,uniform,stationary,50,0.9,9,50,45,46,data/US/n50/dod90/replica9.json
US,uniform,stationary,50,0.95,0,50,47,12,data/US/n50/dod95/replica0.json
US,uniform,stationary,50,0.95,1,50,47,1,data/US/n50/dod95/replica1.json
US,uniform,stationary,50,0.95,2,50,47,43,data/US/n50/dod95/replica2.json
US,uniform,stationary,50,0.95,3,50,47,51,data/US/n50/dod95/replica3.json
